J1,01/10/22,18.00,AE SANT LLUIS,Mpal. Eusebi Güell,Visitante,https://goo.gl/maps/kVqfFJKof4WEHN957,1,3-2,01.jpeg
J2,08/10/22,15.30,CD SANT VICENÇ,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,1,0-1,02.jpeg
J3,15/10/22,16.00,FC CAN BUXERES,Mpal. Can Buxeres,Visitante,https://goo.gl/maps/miAwdW67pdiPsQ21A,1,3-0,03.jpeg
J5,29/10/22,15.45,ATL. DELTA PRAT,Mpal. Julio Mendez,Visitante,https://goo.gl/maps/2evFiYbRW4ypirBv9,1,3-0,05.jpeg
J6,-,,Descanso,,,,,,06.jpeg
J7,12/11/22,16.00,KUBALAS,Mpal. Les Arenes,Visitante,https://goo.gl/maps/ARev2KCg16vVzfsY6,1,2-3,07.jpeg
J4,16/11/22,21.00,GORNAL UD,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,1,1-3,04.jpeg
J8,19/11/22,15.30,SANTS,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,1,1-3,08.jpeg
J9,26/11/22,17.30,MERCAT NOU,Mpal. De l'Energia,Visitante,https://goo.gl/maps/np238d3uTj7PRRnM7,1,3-2,09.jpeg
J10,10/12/22,15.30,PUEBLO NUEVO,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,1,3-1,10.jpeg
J11,17/12/22,16.00,SANT PAU,Mpal. Castellgalí,Visitante,https://goo.gl/maps/LJPsjRrjt3tDL9uY9,0,,11.jpeg
J12,07/01/23,15.30,AEZF 81,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,12.jpeg
J13,14/01/23,16.00,BOTIGUES DE SITGES,Mpal. Can Vidaner,Visitante,https://goo.gl/maps/euSwnBtGeEnomWwB7,0,,13.jpeg
J14,21/01/23,16.00,ATL CLOT,Mpal. Clot de la Mel,Visitante,https://goo.gl/maps/hyx9y2JpnwFoyWXv6,0,,14.jpeg
J15,28/01/23,15.30,ESPARREGUERA,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,15.jpeg
J16,04/02/23,15.30,CD SANT VICENC,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,01.jpeg
J17,11/02/23,16.00,CD SANT VICENÇ,Mpal. La Barruana,Visitante,https://goo.gl/maps/UgaC33rM7gZwvuCbA,0,,02.jpeg
J18,25/02/23,15.30,FC CAN BUXERES,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,03.jpeg
J19,04/03/23,16.00,GORNAL UD,Mpal. La Gornal,Visitante,https://goo.gl/maps/NaXK75USNmLtN9Kw7,0,,04.jpeg
J20,11/03/23,15.30,ATL. DELTA PRAT,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,05.jpeg
J21,-,,Descanso,,,,,,06.jpeg
J22,25/03/23,15.30,KUBALAS,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,07.jpeg
J23,01/04/23,15.45,SANTS,Mpal. De l'Energia,Visitante,https://goo.gl/maps/np238d3uTj7PRRnM7,0,,08.jpeg
J24,15/04/23,15.30,MERCAT NOU,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,09.jpeg
J25,22/04/23,16.00,PUEBLO NUEVO,Mpal. Pueblo Nuevo,Visitante,https://goo.gl/maps/uWaL29CSnd7kswrw9,0,,10.jpeg
J26,29/04/23,15.30,SANT PAU,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,11.jpeg
J27,06/05/23,16.00,AEZF 81,Mpal. Badalona Sud,Visitante,https://goo.gl/maps/Fa8Xah3bXCknFFpy6,0,,12.jpeg
J28,13/05/23,15.30,BOTIGUES DE SITGES,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,13.jpeg
J29,20/05/23,15.30,ATL. CLOT,Mpal. Can Trias,Local,https://goo.gl/maps/g9jSqwMjETsnJ4TXA,0,,14.jpeg
J30,27/05/23,18.30,ESPARREGUERA,Mpal. Esparreguera,Visitante,https://goo.gl/maps/9fJFqvcWjr2YhZdJ8,0,,15.jpeg
